EAN,CNP,brand,itemDescriptionEN,itemCapacity,bestSeller,stock,sales90d,sales180d,sales365d,salesnext90d_lastyear,stockAvgPrice,supplierPrice,isActive,bestbuyPrice(12M),bestbuyPrice_supplier(12M),bestbuyPrice_date(12M)
5025155108789,581143-01,Dyson,Airwrapᵀᴹ Multi-Styler Complete Long [European Plug],1,4,0,0,10,50,14,"357,07","357,07",FALSE,"357,07",Termak,2024-07-26 13:27:00
3139431653381,,Talika,Eyebrow Liposourcils Mascara,5,4,0,0,0,0,0,,"13,6",TRUE,,,
3614273760423,LD794600,Biotherm,Waterlover Face Sunscreen,50,4,6,1,1,2,1,"17,38","18,01",TRUE,"16,42",LOreal Luxe,2024-09-05 08:38:00
3145891727401,,Chanel,Ultra Le Teint Tenue Compact Foundation ,13,4,1,0,0,2,2,"49,07","49,07",TRUE,"49,07",Douglas,2024-09-06 14:04:00
3859893301094,7492074,Skintegra,Nectar Tonic Dehydrated Skin,150,4,2,0,0,0,0,11,11,TRUE,11,Extraordinary Effect,2025-03-21 09:35:00
3666057210297,80103869,Clarins,Wonder Perfect 4D + Micellar Water 50mL + SOS Prime 5mL + Lip Comfort Oil 04,1,4,0,0,2,2,0,"30,8","30,8",FALSE,,,
3348901571449,,Dior,Miss Dior Eau de Parfum ,50,3,0,1,1,5,2,"72,88","72,88",TRUE,68,PerfumesCompanhia,2024-12-02 09:01:00
8719134163452,,Rituals,The Ritual of Ayurveda Conditioner,250,4,0,0,0,0,0,,"9,3",TRUE,,,
3282770398472,7523118,Avene,Xeracalm A.D. Nourishing Cleansing Soap Atopic Skin ,100,3,16,22,54,141,0,"3,89","5,19",TRUE,"3,75",Pierre Fabre,2024-10-09 09:11:00
737052351001,99240004744,Hugo Boss,Boss Bottled Eau de Toilette ,30,4,1,0,0,1,0,"29,83","38,55",TRUE,,,
5601135060485,AM001,Ach Brito,Almond Soap,90,4,7,4,9,24,6,"1,19","1,19",TRUE,"1,19",Mass Perfumarias,2024-10-28 10:02:00
,,LOccitane,Savon Surgras,100,4,0,0,0,1,0,,0,FALSE,,,
3284410051457,80I0066,Melvita,Argan Bio-Active Lift and Firm Cream,50,4,0,0,0,0,0,,"19,22",FALSE,,,
762765368275,BP225-GR71BA-A,MomCozy,M9 Mobile Flow Breast Pump,1,4,0,0,0,0,0,,"184,75",FALSE,,,
8809732911873,MX0029,Mixsoon,Bean Cleansing Oil,195,3,2,5,14,23,6,"10,32","13,59",TRUE,"10,21",Cosibella,2025-04-07 10:16:00
8435025923195,L250 tam 1,Orliman,Classic Lumbosacral Back Suport L-250 ,1,4,1,0,0,1,1,"35,45","38,44",TRUE,"35,45",Interorto,2024-08-09 08:39:00
3540550008127,6086900,Filorga,Sleep & Lift Ultralifting Night Cream ,50,2,1,10,18,86,26,"39,66","52,88",TRUE,"38,5",Alloga Logi Filorga,2024-08-12 00:00:00
5060926681702,7524579,Tangle Teezer,The Ultimate Detangler,1,4,1,3,3,31,14,"6,88","8,6",TRUE,"6,88",Panginter,2024-07-25 10:41:00
85805152147,EIGN10120,Elizabeth Arden,Eight Hour Cream Nourishing Lip Balm,"14,8",4,0,0,0,0,0,,"14,88",TRUE,,,
8435415055956,65173158,Jean Paul Gaultier,Scandal for Him Eau de Toilette ,200,4,0,0,0,0,0,"70,09","77,69",TRUE,,,
5203069063831,,Korres,Pure Greek Olive Hand Cream,75,4,0,0,0,0,0,,6,TRUE,,,
641628510290,EL51029,Elemis,Pro-Collagen Rose Facial Oil ,15,3,0,1,2,2,0,"22,71","46,88",TRUE,"22,71",Qogita EU,2025-04-07 15:11:00
7898665435373,,Vitafor,V-Fort Ultra Pre-Training Food Supplement,240,4,0,0,0,0,0,,"23,39",TRUE,"23,39",Vitafor Europe,2025-06-17 00:00:00
3616303461881,,Marc Jacobs,Perfect Eau de Toilette,100,4,0,0,0,1,1,"58,24","66,35",TRUE,,,
,8051411365730_pv,Purobio,Long Lasting Blush Chubby,"3,3",4,0,0,1,2,0,,"4,95",FALSE,,,
4005800185335,6006643,Eucerin,Hyaluron-Filler + Elasticity Night Cream,50,1,34,56,89,558,354,"22,82","28,53",TRUE,"21,47",Beiersdorf,2024-09-05 10:04:00
768614168713,10116871301,Shiseido,Vital Perfection Liftdefine Radiance Serum ,40,3,0,1,1,1,0,"74,16","79,62",TRUE,,,
3253581769782,11SH500G24,LOccitane,Intensive Repair Shampoo,500,4,2,0,2,4,2,"17,32","19,27",TRUE,"17,32",L´Occitane España S.L,2024-08-05 09:13:00
3401381507565,7478628,Bioderma,Sensibio Cleansing and Soothing Gel for Sensitive Skin ,200,1,27,92,149,342,100,"8,11","10,27",TRUE,"7,97",Bioderma,2024-07-17 10:42:00
8437015869537,6502898,Enna,Menstrual Cups + Steriliser Box and Transporter Box,2,4,0,0,1,2,1,"28,83","32,19",TRUE,"28,83",Farmácia Saúde,2025-03-14 00:00:00
3760095254654,6021642,ACM Laboratoire,Novophane Hair and Nails Food Supplement,180,1,60,159,390,1108,289,"24,48","28,8",TRUE,"24,48",CS Portugal,2025-01-02 09:50:00
4011396404453,6352773,Dr Grandel,Nutri Sensation Eye Cream and Mask ,20,4,0,1,3,5,2,"24,56","24,56",TRUE,"24,56",Delkpharma,2024-09-05 15:24:00
3346131431663,100061V0,Hermes,Terre D'Hermès Eau Intense Vétiver ,125,3,0,1,2,2,0,"80,84","80,84",TRUE,"80,84",Mass Perfumarias,2025-03-28 09:08:00
3390150592485,CPY19137,Payot,Pâte Grise Rebalancing Purifyng Mask,75,4,1,0,0,1,1,"12,74","14,15",TRUE,"12,74",Sorisa,2024-10-02 08:56:00
,7116285_pv,Heliocare,360º Sport Invisible Spray SPF50,100,4,0,0,0,0,0,,"14,3",FALSE,,,
85978218,3752,Dermacol,Neon Mania Waterproof Eye and Lip Pencil,"1,1",4,0,0,0,0,0,,"4,61",TRUE,,,
849980026200,CRAM1013,The Creme Shop,"Drink Up, Skin! Animated Penguin Face Mask",1,4,0,0,0,0,0,,"2,65",TRUE,,,
3666057241529,80107000,Clarins,Skin Illusion Full Coverage Foundation,30,4,2,0,0,0,0,"27,04","27,04",TRUE,"27,04",Clarins,2025-02-21 14:30:00
3700559612828,,Maison Francis Kurkdjian,Aqua Universalis Forte Eau de Parfum,70,4,0,0,0,0,0,,"153,33",TRUE,,,
3282770201567,6058198,Galenic,Beauté Du Regard Cream for Eyes Crio-Booster ,15,4,0,0,0,0,0,"27,54","32,4",FALSE,,,
5060806560264,PS009,BPerfect,Poutstar Soft Matte Lipstick,30,4,0,1,1,1,0,"11,95","7,9",TRUE,,,
3600522839132,3600523016549,LOreal Paris,Accord Parfait Liquid Foundation,30,4,0,0,0,0,0,"9,55","10,56",TRUE,"10,56",LOreal MassMarket,2024-10-15 09:51:00
8436616951825,M021455,Freshly,Beta-Burner Sculpting Treatment,200,3,1,3,3,3,0,"26,8","26,8",TRUE,"26,8",Freshly Cosmetics,2025-05-13 09:11:00
769915195507,769915190823,The Ordinary,100% Cold-Pressed Virgin Marula Oil,30,4,3,2,3,8,3,"9,95","10,05",TRUE,"9,95",Checkpoint Distribution,2024-10-04 09:30:00
8809532221349,19354,Haruharu Wonder,Black Rice Moisture Cleansing Oil,150,4,0,0,0,0,0,,"9,83",TRUE,,,
20714236922,6FP2010000,Clinique,Cream Shaper for Eyes ,"1,2",3,3,3,5,8,2,"12,09","12,5",TRUE,"10,86",Engel,2025-06-06 13:04:00
3348901526913,,Dior,Rouge Dior ,"3,5",4,0,0,0,0,0,"27,33","27,33",TRUE,,,
4973167953969,95396,Sensai Kanebo,Silky Bronze Self Tanning for Body ,150,4,0,0,1,1,1,51,"53,11",TRUE,51,Mass Perfumarias,2024-07-17 12:45:00
729238146990,10114699101,Shiseido,Daiya Fude Face Duo,1,3,2,1,1,2,1,"33,63","36,05",TRUE,,,
3614273764926,LD8251,Thierry Mugler,Angel Elixir Eau de Parfum,100,4,1,0,0,1,0,"82,29","85,26",TRUE,,,
8011003991600,2004300115,Moschino,Funny Eau de Toilette ,50,4,0,0,0,1,0,"14,1","35,35",TRUE,"14,1",Engel,2024-11-05 09:18:00
85805268848,A0127397,Elizabeth Arden,Green Tea Eau Parfumée ,100,4,2,0,2,7,4,"9,14","14,47",TRUE,"9,14",ELIZABETH ARDEN,2024-09-17 10:31:00
3666057319075,80114810,Clarins,Lip Perfector,12,4,0,0,0,0,0,,"11,52",TRUE,,,
8032472009450,7753186,Aboca,Grintuss Pediatric Dry and Productive Cough ,180,4,5,1,3,7,1,"8,17","10,89",TRUE,"8,17",Phytoderm,2024-11-11 08:26:00
3666057023378,80083016,Clarins,Bright Plus Dark Spot-Targeting Moisturizing Emulsion ,75,3,0,2,2,3,4,"24,05","27,54",TRUE,"24,05",Engel,2025-06-09 08:53:00
3348901728836,,Dior,Sauvage Eau Forte,100,4,0,0,2,2,0,"102,03","102,03",TRUE,"100,21",Mass Perfumarias,2025-01-28 10:56:00
8803348049029,FFDDFKGGP30,Frudia,Green Grape Pore Control Scrub Cleansing Foam ,30,4,6,10,15,19,3,"1,24","1,65",TRUE,"1,24",Dvderma,2024-11-04 08:41:00
800897243555,K5641300,NYX Professional Make Up,Jumbo Multi-Use Face Highlighter Stick,"2,7",4,3,0,0,0,0,"5,55","7,4",TRUE,"5,55",LOreal MassMarket,2024-12-04 16:04:00
,80073156_PV,Clarins,Calm-Essentiel Soothing Emulsion,50,4,0,0,0,0,0,,"27,04",FALSE,,,
8809680141537,,Amuse,Dew Jelly Vegan Cushion,15,4,0,0,0,0,0,,"14,83",TRUE,,,
,6TOPSELLERS,SweetCare,6 Top Sellers | 16th Anniversary,1,4,0,0,0,200,200,,"7,12",FALSE,,,
5201279081805,6236307,Apivita,Intensive Moisturizing Cucumber Mask ,2x8,4,5,14,16,43,11,"2,06","2,57",TRUE,"2,06",Uriage Apivita,2024-11-27 16:55:00
,18993_PV,Shiseido,Waso Yuzu-C Glow-On Shot ,28,4,1,0,0,0,0,,"23,66",FALSE,,,
8435025940109,COL-247 Tam 2,Orliman,Col-247 Abdominal Support for Ostomy Patients,1,4,0,0,0,1,1,"69,79","75,66",TRUE,"69,79",Interorto,2024-07-29 09:06:00
3614274076202,LE609900,Yves Saint Laurent,Black Opium Over Red Eau de Parfum,90,4,1,0,0,1,0,"80,65","83,56",TRUE,"77,05",LOreal Luxe,2024-11-20 00:00:00
5903991666406,,Skintra,Let Your Skin Drink Up Moisturizing Cream,100,3,3,3,8,12,2,"16,76","16,76",TRUE,"16,76",Cosibella,2025-05-21 09:34:00
7391681403017,,Maria Nila,True Soft Booster Masque,50,4,2,0,0,5,1,"7,65","9,45",TRUE,"7,65",GlowMagg,2024-11-20 09:16:00
3372290111528,6342303,Lazartigue,Protection Mask for Dyed Hair ,250,3,0,4,7,18,7,"19,5",26,TRUE,"19,5",Alloga Logi Lazartigue,2024-09-11 08:12:00
773602048809,,MAC,Matte Lipstick,3,4,0,0,0,0,0,"21,95","21,95",TRUE,,,
7322540488258,6342881,Tena,Lady Pants Silhouette,12,4,0,1,3,9,1,"10,76","10,33",TRUE,"7,75",Essity  - ACTONE,2024-10-28 10:02:00
762765367636,PK007-WH41NB-A,MomCozy,Postpartum Recovery Kit,1,4,0,0,0,0,0,,"25,27",FALSE,,,
8809626562921,17196,Celimax,Ji Woo Gae Baking Soda Deep Pore Foam Cleansing,150,4,1,1,1,1,0,"5,38","5,42",TRUE,"5,38",Cosibella,2025-06-23 00:00:00
4005800299353,7262733,Hansaplast,Aqua Protect Sterile,1,4,0,0,0,0,0,"8,15","9,46",TRUE,,,
8809572890000,BW20018,By Wishtrend,Multi Function Cotton Pads,70,4,1,1,2,2,0,3,3,TRUE,3,Liwela ,2025-02-05 13:21:00
3574661407692,6041848,Piz Buin,After Sun Mist Spray Instant Relief ,200,4,0,13,14,15,3,"8,33","10,29",TRUE,"8,33",JNTL Consumer,2024-07-25 09:12:00
3474636839674,E1412404,Kerastase,Densifique serum jeunesse hair youth serum ,100,3,0,0,12,26,2,"44,55","47,9",TRUE,"42,87",LOreal Kérastase,2024-09-04 09:35:00
5055860848939,MR60C Taupe +2.00,Montana Eyewear,Magnet Reading Glasses Taupe ,1,4,2,1,2,5,0,"3,25","3,9",TRUE,"3,25",SunopticDE,2024-12-20 10:25:00
5701943100882,7288670,Riemann,P20 Solar Kids Cream,200,1,31,111,251,336,49,"14,81","18,51",TRUE,"14,81",Gameiros Pharma,2024-08-09 14:20:00
192333300848,VEZE440000,Clinique,Pop Lip + Cheek Oil,7,4,0,0,0,0,0,,"16,25",TRUE,"16,25",Socosmet,2025-07-07 09:45:00
4084200653309,B1851013,Maybelline,Line Refine Expression Kajal Black,4,4,3,11,18,32,5,"1,94","2,52",TRUE,"1,94",LOreal MassMarket,2024-10-07 10:27:00
85715000873,ANF16972,Abercrombie Fitch,Away Eau de Toilette for Men,30,4,0,0,0,0,0,,"22,59",TRUE,,,
8437014389081,6973909,Babe,Pediatric Nappy Rash Cream ,100,3,5,15,18,27,4,"5,44","6,4",TRUE,"5,27",Laboratórios Babé,2024-08-26 08:28:00
4008600090212,6107045,Nuk,Breast Shell Set ,6,4,0,0,0,0,0,"10,11","12,09",TRUE,,,
8809732910661,,Mixsoon,Bean Cream,50,3,0,9,22,24,0,"12,17","20,64",TRUE,12,Cosibella,2025-04-07 10:16:00
3337875583626,6044990,La Roche Posay,Hyalu B5 Anti-Aging Serum Anti-Wrinkles Concentrate ,30,1,70,25,85,212,60,"28,39","32,9",TRUE,"23,99",Qogita EU,2025-07-07 14:02:00
5202888222313,6957258,Frezyderm,Sun Screen Velvet Second Skin Technology Body Lotion,125,3,7,16,32,45,11,12,"27,06",TRUE,12,Nupemed,2025-03-27 09:03:00
5425012534407,,Remescar,Eye Bags and Dark Circles Stick,4,3,9,3,3,3,0,"14,48","25,21",TRUE,"14,48",Qogita EU,2025-05-27 23:55:00
,NR1A   +1.50red,Montana Eyewear,Nose Reading Glasses Nr1a Red ,1,4,0,0,0,0,0,"4,46","4,46",TRUE,,,
85715568502,ODL56850,Oscar de la renta,Bella Soleil Eau de Parfum,30,4,0,0,0,0,0,,"26,84",TRUE,,,
,6090522_pv,Eucerin,Antipigment Dual Serum Anti Spots,30,4,0,0,5,5,0,,"25,53",FALSE,,,
3770022390201,,Pariderm,BOOST LIFT Firmness Cream,50,4,0,0,0,0,0,,"28,2",TRUE,,,
30175228,30175228,LOreal Paris,Matte Signature Eyeliner ,3,4,2,0,0,1,0,"7,24","8,37",TRUE,"7,24",LOreal MassMarket,2024-11-13 08:58:00
3666057239045,80106752,Clarins,Eau Dynamisante 100mL + Energizing Shower Gel 30mL,1,4,6,0,0,0,0,"30,55","30,55",TRUE,,,
3139438550416,,Talika,Eye Quintessence Day and Night Eye Contour Duo ,10+10,4,1,1,3,7,2,"25,94","26,8",TRUE,"23,51",Engel,2024-11-29 10:43:00
3600531668419,,Maybelline,Blush and Bronzer Sunkisser,"4,7",4,2,0,3,15,7,"5,54","7,2",TRUE,"5,54",LOreal MassMarket,2024-07-24 10:03:00
8809652580272,NBZ037,Numbuzin,No.3 Tingle-Pore Softening Sheet Mask,1,4,4,1,1,1,0,"1,5","1,5",TRUE,"1,5",Liwela ,2025-02-27 18:13:00
3337872413148,6891762,La Roche Posay,Physiologique Cleansing Micellar Foaming Water Sensitive Skin ,150,2,20,16,28,97,31,"9,9","11,4",TRUE,"9,23",Farmácia Fluvial,2024-10-30 17:33:00
3423222066185,,Dolce Gabbana,K Eau de Parfum 100mL + Shower Gel 50mL + After-Shave Balm 50mL,1,4,0,0,0,1,1,"46,95","46,95",TRUE,,,
,,Eisenberg,Perfecteur Teint Express Make Up Primer ,30,4,0,0,0,0,0,,"25,04",FALSE,,,
681619805110,TB805110,TheBalm,Meet Matt(E) Hughes,"7,4",4,1,0,0,0,0,"8,42","8,42",TRUE,,,
3522930028673,7488445,Caudalie,Eau de Parfum Ange Des Vignes 50mL + Shower Gel 200mL,1,4,0,1,4,6,0,"15,84","19,8",FALSE,,,
4045787922684,2970896,Schwarzkopf,BLONDME Premium Developer Oil Formula,1000,4,0,0,0,0,0,,"9,45",TRUE,,,
3577057054661,6793760,Elgydium,Junior Toothbrush ,1,4,1,1,1,4,0,"3,21","3,76",TRUE,,,
8803348049692,FFDASCMWC50,Frudia,What´s Wrong? Help Cicaderm Sun Cream,50,4,0,0,1,1,0,"5,97","7,96",TRUE,"5,97",Dvderma,2024-10-29 10:03:00
8426420177375,6632422,Suavinex,Hydrophilic Sponge,1,4,4,5,15,16,0,"2,84","3,16",TRUE,"2,84",Suavinex,2025-03-05 08:28:00
3386460145053,KS007A02,Kate Spade,Bloom Eau de Toilette,60,4,0,0,0,0,0,,"32,77",FALSE,,,
8470001529688,6866137,Endocare,Tensage Firming Regeneration Serum ,30,2,6,17,25,48,12,"28,33","33,33",TRUE,"26,98",Distrifarma IFC,2024-07-30 16:26:00
8437000435594,6038687,Martiderm,Platinum Night Renew Ampoules,30,2,24,11,21,49,17,"25,02","36,8",TRUE,"25,02",Martiderm,2025-03-05 15:01:00
5060022199927,,ASP Hair,Colour Dynamics Semi-Permanent Colour,150,4,2,0,0,1,0,"12,11","16,15",TRUE,"12,11",GlowMagg,2024-11-25 09:05:00
8809865269933,,Medicube,Age-R Derma Ems Shot,1,1,1,3,3,3,0,"164,99","164,99",TRUE,"164,99",Miin Cosmetics,2025-04-28 10:08:00
,3574661469294_pv,Piz Buin,After Sun Tan Intensifying Moisturising Lotion,200,4,0,0,0,0,3,,"11,85",FALSE,,,
8809625243098,,Romand,Better Than Palette,7.5,4,1,0,0,0,0,"12,39","14,38",TRUE,"12,39",Cosibella,2024-12-18 17:00:00
,50205_pv,Mizon,Skin Power Original First Essence,210,4,0,0,1,1,0,,0,FALSE,,,
773602388042,,MAC,Matte Lipstick,3,4,0,0,0,0,0,"21,95","21,95",TRUE,,,
3474637217907,E4173200,LOreal Professionnel,Serie Expert Absolut Repair Molecular Hair Mask,500,1,0,22,68,76,0,"19,08","29,35",TRUE,"18,53",LOreal Profissional,2024-10-04 00:00:00
8809634850386,,Juice to Cleanse,Clean Butter Shampoo Bar,120,4,0,0,0,0,0,,"6,98",TRUE,,,
5010415478269,447826,Tommee Tippee,Superstar Training Cup,1,4,3,1,1,1,0,"4,45","4,45",TRUE,"4,45",Infobebe,2025-05-05 10:08:00
,6365379_PV,Institut Esthederm,Solaire Adaptasun High Sunscreen Body Mist 150 mL,150,4,1,0,0,0,0,,"30,83",FALSE,,,
3348901379496,,Dior,Hydra Life Cooling Hydration Sorbet Eye Gel ,15,2,1,7,13,27,0,"35,7","35,7",TRUE,"31,12",Qogita EU,2024-11-26 09:13:00
3401351366789,6923763,Bioderma,Sensibio H2O AR Anti-Redness Micelle Solution,250,3,7,5,13,26,6,"11,25","14,24",TRUE,"11,05",Bioderma,2024-09-03 09:07:00
3282770150407,7089789,A Derma,Protect Invisible Fluid Face Normal to Combination Skin Pocket,30,3,20,39,47,92,29,"4,77","6,36",TRUE,"3,85",Pierre Fabre,2024-08-26 08:28:00
3145891463705,,Chanel,Ultra Le Teint ,30,4,1,0,0,0,0,"39,95","44,88",TRUE,,,
,7252932_pv,Eucerin,Anti-Pigment Moisturizing Body Cream,200,4,1,0,0,0,0,,17,FALSE,,,
3577057054401,6780338,Elgydium,Interactive Hard Toothbrush Green,1,4,14,20,20,22,0,"2,84","3,82",TRUE,"2,81",Pierre Fabre,2024-11-12 08:22:00
5694230167067,,Evy Technology,Sunscreen Mousse,100,1,7,42,64,90,18,"22,9","22,9",TRUE,"22,9",ThinkBeauty,2024-07-23 10:04:00
8436553160779,7260463,Terpenic,BIO Sweet Orange Essential Oil,10,4,0,0,0,1,1,"3,54","3,54",TRUE,"3,54",OCP,2024-09-23 09:03:00
,8451 branca tam S 7964015,Cantaloop,Pre & Postpartum Slip,1,4,0,0,0,0,0,"9,6","9,6",FALSE,,,
3346470139572,,Guerlain,Aqua Allegoria Orange Soleia ,75,4,0,0,0,0,0,,"59,64",FALSE,,,
4067971081182,2985261,Schwarzkopf,BLONDME Bondfinity Mask,500,4,0,0,0,0,0,,"26,36",TRUE,,,
3346133203664,103950V0,Hermes,Twilly D'Hermès Eau Ginger Eau de Parfum,50,4,1,0,0,1,0,"52,95","63,2",TRUE,"52,95",Checkpoint Distribution,2024-12-03 09:39:00
8426017072106,,Loewe,Loewe Solo Atlas Eau de Parfum,50,4,0,0,1,1,0,"55,57","61,72",TRUE,,,
882381042226,ELD3YJ01000000000,Darphin,Age-Defying Dermabrasion with Exfoliating Pearl Particles ,50,4,1,0,0,1,1,"41,01",50,TRUE,"46,87",Green Family Pro,2024-09-02 13:41:00
5600774155033,M-AS-C,Musa Natural Cosmetics,Hemp Solid Conditioner,1,4,0,0,0,0,0,,"5,4",TRUE,,,
737052992785,99350052778,Hugo Boss,The Scent for Him Deodorant Spray ,150,4,0,0,0,1,1,"13,58","17,55",TRUE,,,
3662361001590,6641340,SVR,"Sebiaclear Micro-Peel Unclogging, Smoothing Renewal Water ",150,2,8,77,120,181,32,"7,46","9,94",TRUE,"5,96",Alloga Logi SVR,2024-07-26 11:28:00
3666057092817,80091424,Clarins,Joli Rouge,3.5,4,0,1,1,2,0,"12,52","13,27",TRUE,"13,27",PerfumesCompanhia,2025-06-20 09:37:00
783320413698,B41369,Bvlgari,Aqva Pour Homme Eau de Toilette ,100,4,0,0,0,0,0,59,59,TRUE,,,
3701436927561,7493163,Lierac,Homme Global Anti-Aging Fluid 50mL + Antiperspirant 48H 50mL,1,4,8,0,0,4,0,"13,78","20,41",TRUE,"12,24",Lab Native,2025-01-20 16:57:00
5901801661313,CE257N2,Nam,Sponge Smart Blender Precision,1,4,0,2,2,2,0,,"4,97",TRUE,"4,97",Beauty Trend,2025-07-10 09:07:00
,,Helena Rubinstein,Powercell 24H Eye Care,15,4,0,0,0,0,0,,"50,18",FALSE,,,
3600524012649,,LOreal Paris,Age Perfect Cellular Renewal Midnight Serum,30,4,7,0,2,8,2,"16,85","21,88",TRUE,"16,85",LOreal MassMarket,2024-11-04 09:36:00
3380810083996,80014818,Clarins,V-Facial Intensive Wrap ,75,3,1,2,6,11,3,"32,05","32,55",TRUE,"32,05",Clarins,2024-10-14 09:58:00
,TT0020714699604,Clinique,Take the Day Off Makeup Remover,,4,0,0,0,1,1,,"18,75",FALSE,,,
3614273922975,LE222900,Lancome,La Vie Est Belle Iris Absolu Eau de Parfum 100 mL,100,4,2,0,0,0,1,"74,81","82,67",TRUE,,,
85805520830,A0130801,Elizabeth Arden,Visible Difference Peel and Reveal Revitalizing Mask ,50,4,1,0,1,1,2,"19,19","21,82",TRUE,"14,76",Engel,2024-07-25 08:44:00
3666057117343,80094279,Clarins,Joli Rouge Shine,3.5,4,3,0,0,0,0,"19,28","20,04",TRUE,,,
5060667140032,SHAKE_0032,Shakeup Cosmetics,Eye Eye Captain,15,4,1,0,0,1,0,"12,48","15,6",TRUE,,,
8809640734342,19645,Anua,Peach 77% Niacin Conditioning Milk,150,4,0,0,0,0,0,,"11,75",TRUE,,,
7897930763920,7127589,Benzacare,Blackhead Control Cleansing Gel,120,4,2,0,1,3,2,"9,58","11,14",TRUE,"8,91",Galderma,2025-03-10 08:44:00
8809642712928,,Dr Jart,Ctrl-a Teatreement Soothing Spot,15,4,1,1,1,12,7,"9,92","12,49",TRUE,"9,92",Qogita EU,2025-05-14 09:52:00
3346470416659,G041665,Guerlain,Météorites Light Revealing Pearls of Powder ,25,4,0,0,0,3,2,"35,48","39,11",TRUE,"35,48",Qogita EU,2024-10-28 14:31:00
7350092139458,F9458,Foreo,LUNA mini 3 ,1,3,2,1,1,19,2,"113,25","113,25",TRUE,"113,25",Foreo,2024-09-23 09:28:00
8435090859672,23285435,Steinhart Professional,Biodegradable Detangling Hairbrush,1,4,0,0,0,0,0,,"3,43",TRUE,,,
22548366448,,Michael Kors,Wonderlust Eau de Parfum ,100,4,0,0,0,0,0,"54,75","54,75",TRUE,,,
3614272827868,LB207500,Lancome,Teint Idole Ultra Foundation Stick ,9,4,1,0,0,4,3,"26,58","28,05",TRUE,"26,58",LOreal Luxe,2024-09-30 08:56:00
3666057273575,80110225,My Clarins,REVEAL Purple Gentle Radiance Scrub,50,4,7,0,1,2,0,"11,52","11,77",TRUE,"11,52",Clarins,2024-09-25 17:31:00
800897266820,,NYX Professional Make Up,Buttermelt Glaze Soft Glow Skin Tint,30,4,3,0,0,0,0,"9,28","12,36",TRUE,"9,28",LOreal MassMarket,2025-05-14 12:46:00
,6384792_PV,Eucerin,Hyaluron-Filler + Elasticity Serum 3d ,30,4,0,0,0,0,0,,"26,04",FALSE,,,
,3A332tam1,Sicura,Support Stockings Open-Toe 140den Daino ,1,4,0,0,0,0,0,"8,16","9,86",FALSE,,,
7391681403628,,LeaLuo,Aim High Volume Conditioner,100,4,1,0,0,0,0,,"5,4",TRUE,"5,4",GlowMagg,2024-10-17 13:23:00
3661434004421,6520569,Uriage,Lip Stick ,4,3,3,8,37,59,11,"2,72","5,54",TRUE,"2,48",Engel,2025-06-11 09:55:00
3401361353625,6880831,Bioderma,Sébium Pore Refiner Enlarged Pores Corrector ,30,2,22,23,44,180,92,"11,94","15,12",TRUE,"11,73",Bioderma,2024-07-22 09:34:00
3600541888197,,Garnier,Ultra Suave Conditioner Oat Delicacy,400,4,4,0,1,3,1,"3,81","4,95",TRUE,,,
